City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
552,bjuv,56.0837,12.9191,12.1,93,100,6.17,SE,1712947371
553,cannonvale,-20.2833,148.7,24.66,81,100,6.5,AU,1712947372
554,terbanggi besar,-4.8667,105.2333,24.55,94,94,1.47,ID,1712947372
555,tarawa,1.419,172.984,28.05,83,40,0.51,KI,1712947373
556,mangai,-4.05,19.5333,23.13,98,100,1.47,CD,1712947373
557,kilindoni,-7.9139,39.6668,28.34,83,89,8.41,TZ,1712947374
558,yujing,23.1249,120.4614,28.14,76,4,1.27,TW,1712947374
559,darab,28.7519,54.5444,17.77,32,0,3.94,IR,1712947375
560,brisas de zicatela,15.8369,-97.0419,29.29,79,40,5.42,MX,1712947376
561,awjilah,29.1081,21.2869,24.5,17,0,3.95,LY,1712947376
562,hualien city,23.9769,121.6044,24.31,85,21,1.68,TW,1712947377
563,diamantino,-14.4086,-56.4461,27.37,77,91,2.35,BR,1712947236
564,ternate,0.8,127.4,26.35,83,34,2.46,ID,1712947378
